shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
10109,39.475150,-119.788374,170016
10109,39.474232,-119.787926,170017
10109,39.473427,-119.787528,170018
10109,39.473427,-119.787528,180001
10109,39.472161,-119.786902,180002
10109,39.471164,-119.786418,180003
10109,39.471199,-119.786298,180004
10109,39.471401,-119.785578,180005
10109,39.471401,-119.785578,190001
10109,39.471461,-119.785363,190002
10109,39.471498,-119.785169,190003
10109,39.471516,-119.784769,190004
10109,39.471535,-119.784320,190005
10109,39.471530,-119.782865,190006
10109,39.472429,-119.783321,190007
10109,39.472490,-119.783231,190008
10109,39.472018,-119.783004,190009
20081,39.529982,-119.811124,10001
20081,39.530170,-119.810155,10002
20081,39.530259,-119.810186,10003
20081,39.530528,-119.810270,10004
20081,39.530659,-119.810312,10005
20081,39.531942,-119.810721,10006
20081,39.533132,-119.811102,10007
20081,39.533132,-119.811102,20001
20081,39.533220,-119.811130,20002
20081,39.533456,-119.809900,20003
20081,39.533499,-119.809674,20004
20081,39.533874,-119.807702,20005
20081,39.534297,-119.807708,20006
20081,39.534297,-119.807708,30001
20081,39.534942,-119.807717,30002
20081,39.535225,-119.807722,30003
20081,39.535510,-119.807723,30004
20081,39.535510,-119.807723,40001
20081,39.536004,-119.807725,40002
20081,39.536496,-119.807734,40003
20081,39.536570,-119.807732,40004
20081,39.536699,-119.807737,40005
20081,39.536778,-119.807739,40006
20081,39.537075,-119.807748,40007
20081,39.537075,-119.807748,50001
20081,39.537078,-119.807748,50002
20081,39.537989,-119.807774,50003
20081,39.538870,-119.807811,50004
20081,39.539196,-119.807825,50005
20081,39.539196,-119.807825,60001
20081,39.539740,-119.807848,60002
20081,39.541092,-119.807914,60003
20081,39.541444,-119.807925,60004
20081,39.541444,-119.807925,70001
20081,39.541820,-119.807937,70002
20081,39.541839,-119.806388,70003
20081,39.541841,-119.806236,70004
20081,39.541841,-119.806236,80001
20081,39.541887,-119.803460,80002
20081,39.541887,-119.803460,90001
20081,39.541891,-119.803226,90002
20081,39.541754,-119.803252,90003
20081,39.538530,-119.803348,90004
20081,39.538528,-119.802491,90005
20081,39.538528,-119.802491,100001
20081,39.538527,-119.802047,100002
20081,39.538529,-119.800781,100003
20081,39.538528,-119.799522,100004
20081,39.538502,-119.798596,100005
20081,39.538498,-119.798511,100006
20081,39.538498,-119.798235,100007
20081,39.538498,-119.798235,110001
20081,39.538501,-119.796933,110002
20081,39.538505,-119.795192,110003
20081,39.538507,-119.794182,110004
20081,39.538507,-119.794182,120001
20081,39.538508,-119.793898,120002
20081,39.538579,-119.793403,120003
20081,39.538579,-119.793339,120004
20081,39.538579,-119.793101,120005
20081,39.538587,-119.792322,120006
20081,39.538592,-119.791563,120007
20081,39.538597,-119.790857,120008
20081,39.538606,-119.790237,120009
20081,39.538615,-119.790152,120010
20081,39.538634,-119.789964,120011
20081,39.538651,-119.789841,120012
20081,39.538651,-119.789841,130001
20081,39.538663,-119.789752,130002
20081,39.538678,-119.789667,130003
20081,39.538728,-119.789381,130004
20081,39.538773,-119.789127,130005
20081,39.538900,-119.788294,130006
20081,39.539007,-119.787610,130007
20081,39.539045,-119.787358,130008
